original,normal_english,mapping
"Our own council we will keep on who is ready. More to learn, he has...",We will keep our own council on who is ready. He has more to learn.,"[3, 4, 5, 0, 1, 2, 6, 7, 8, 9, 13, 14, 10, 11, 12]"
And draw out the Queen's attacker.,And draw the Queen's attacker out.,"[0, 1, 3, 4, 5, 2]"
Young Skywalker's fate will be decided later.,Skywalker's young fate will be decided later.,"[1, 0, 2, 3, 4, 5, 6]"
"Train him not. Take him with you, but train him not!","Not train him. Take him with you, but not train him!","[2, 0, 1, 3, 4, 5, 6, 7, 10, 8, 9]"
"Confer on you, the level of Jedi Knight the Coucil does. But agree on you taking this boy as your Padawan learner, I do not.","The Coucil does confer on you, the level of Jedi Knight. But I do not agree on you taking this boy as your Padawan learner.","[8, 9, 10, 0, 1, 2, 3, 4, 5, 6, 7, 11, 22, 23, 24, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21]"
"The Chosen One the boy may be; nevertheless, grave danger I fear in his training.","The boy may be; the Chosen One nevertheless, I fear grave danger in his training.","[0, 4, 5, 6, 3, 1, 2, 7, 10, 11, 8, 9, 12, 13, 14]"
"Qui-Gon's defiance I sense in you. Need that, you do not. Agree, the council does. Your apprentice, young Skywalker will be.",I sense Qui-Gon's defiance in you. You do not need that. The council does agree. Young Skywalker will be your apprentice.,"[2, 3, 0, 1, 4, 5, 8, 9, 10, 6, 7, 12, 13, 14, 11, 17, 18, 19, 20, 15, 16]"
Always two there are....no more...no less. A master and an apprentice.,There are always two no more no less. A master and an apprentice.,"[2, 3, 0, 1, 4, 5, 6, 7, 8, 9, 10, 11, 12]"
 Premonitions . . . premonitions . . . Hmmmm . . . these visions you have . . .,Hmmmm... you have... these visions premonitions... Premonitions...,"[8, 14, 15, 12, 13, 4, 0]"
" Yourself you speak of, or someone you know?","You speak of yourself, or you know someone?","[1, 2, 3, 0, 4, 6, 7, 5]"
 . . . close to you?,Close . . . to you?,"[3, 0, 1, 2, 4, 5]"
" Careful you must be when sensing the future, Anakin. The fear of loss is a path to the dark side.","You must be careful when sensing the future, Anakin. The fear of loss is a path to the dark side.","[1, 2, 3, 0, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]"
" Death is a natural part of life. Rejoice for those around you who transform into the Force. Mourn them, do not. Miss them, do not. Attachment leads to jealousy. The shadow of greed, that is.","Death is a natural part of life. Rejoice for those around you who transform into the Force. do not. Mourn them, do not. Miss them, Attachment leads to jealousy. that is. The shadow of greed,","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 19, 20, 17, 18, 23, 24, 21, 22, 25, 26, 27, 28, 33, 34, 29, 30, 31, 32]"
 Train yourself to let go of everything you fear to lose.,"To let go of everything you fear to lose, train yourself.","[2, 3, 4, 5, 6, 7, 8, 9, 10, 0, 1]"
" Allow this appointment lightly, the Council does not. Disturbing is this move by Chancellor Palpatine.",The Council does not allow this appointment lightly. This move by Chancellor Palpatine is disturbing.,"[4, 5, 6, 7, 0, 1, 2, 3, 10, 11, 12, 13, 14, 9, 8]"
" Hiding in the Outer Rim, Grievous is. The outlying systems, you must sweep.",Grievous is hiding in the Outer Rim. You must sweep the outlying systems.,"[5, 6, 0, 1, 2, 3, 4, 10, 11, 12, 7, 8, 9]"
" Master Kenobi, our spies contact, you must, and then wait.","You must contact our spies, Master Kenobi, and then wait.","[5, 6, 4, 2, 3, 0, 1, 7, 8, 9]"
" Go, I will. Good relations with the Wookiees, I have.",I will go. I have good relations with the Wookiees.,"[1, 2, 0, 8, 9, 3, 4, 5, 6, 7]"
" Too much under the sway of the Chancellor, he is. Much anger there is in him. Too much pride in his powers.","He is too much under the sway of the Chancellor. There is much anger in him. In his powers, too much pride.","[8, 9, 0, 1, 2, 3, 4, 5, 6, 7, 12, 13, 10, 11, 14, 15, 19, 20, 21, 16, 17, 18]"
 A prophecy . . . that misread could have been.,A prophecy that could have been misread . . .,"[0, 1, 5, 7, 8, 9, 6, 2, 3, 4]"
" I hope right you are. And now destroy the Droid armies on Kashyyyk, I will. May the Force be with you.","I hope you are right. I will destroy the Droid armies on Kashyyyk, and now. May the Force be with you.","[0, 1, 3, 4, 2, 13, 14, 7, 8, 9, 10, 11, 12, 5, 6, 15, 16, 17, 18, 19, 20]"
" Act on this, we must. The capture of General Grievous will end this war. Quickly and decisively we should proceed.",We must act on this. The capture of General Grievous will end this war. We should proceed quickly and decisively.,"[3, 4, 0, 1, 2, 5, 6, 7, 8, 9, 10, 11, 12, 13, 17, 18, 19, 14, 15, 16]"
" A Master is needed, with more experience.","A Master with more experience is needed,","[0, 1, 4, 5, 6, 2, 3]"
" Obi-Wan, my choice is.",My choice is Obi-Wan.,"[1, 2, 3, 0]"
 I agree.,I agree.,"[0, 1]"
" Then now the time is, Commander.","Then the time is, now Commander.","[0, 2, 3, 4, 1, 5]"
 To a dark place this line of thought will carry us. Hmmmmm. . . . great care we must take.,This line of thought will carry us To a dark place. Hmmmm. . . . We must take great care.,"[4, 5, 6, 7, 8, 9, 10, 0, 1, 2, 3, 11, 12, 13, 14, 17, 18, 19, 15, 16]"
" Stink, this mud does. A moment to bathe, give me.",This mud does stink. Give me a moment to bathe.,"[1, 2, 3, 0, 8, 9, 4, 5, 6, 7]"
" (continuing) Not far, are we, from the emergency ship. Quickly . . .",(continuing) We are not far from the emergency ship. Quickly . . .,"[0, 4, 3, 1, 2, 5, 6, 7, 8, 9, 10, 11, 12]"
" Good-bye. Chewbacca and Tarfful, miss you I will. Good friends you are. For your help, much gratitude and respect, I have.",Good-bye. I will miss you Chewbacca and Tarfful. You are good friends. I have much gratitude and respect for your help.,"[0, 6, 7, 4, 5, 1, 2, 3, 10, 11, 8, 9, 19, 20, 15, 16, 17, 18, 12, 13, 14]"
" Master Kenobi, dark times are these. Good to see you. it is.","These are dark times, Master Kenobi. It is good to see you.","[5, 4, 2, 3, 0, 1, 10, 11, 6, 7, 8, 9]"
" With the help of the Wookiees, barely escape, I did.","I did barely escape, With the help of the Wookiees,","[8, 9, 6, 7, 0, 1, 2, 3, 4, 5]"
" Heard from no one, have we.",We have heard from no one.,"[5, 4, 0, 1, 2, 3]"
" Received a coded retreat message, we have.",We have received a coded retreat message.,"[5, 6, 0, 1, 2, 3, 4]"
" Suggest dismantling the coded signal, do you?",Do you suggest dismantling the coded signal?,"[5, 6, 0, 1, 2, 3, 4]"
 I agree. In a dark place we find ourselves ... a little more knowledge might light our way.,I agree. We find ourselves in a dark place ... a little more knowledge might light our way.,"[0, 1, 6, 7, 8, 2, 3, 4, 5, 9, 10, 11, 12, 13, 14, 15, 16, 17]"
" If a special session of Congress there is, easier for us to enter the Jedi Temple it will be.","If there is a special session of Congress, it will be easier for us to enter the Jedi Temple.","[0, 6, 7, 1, 2, 3, 4, 5, 16, 17, 18, 8, 9, 10, 11, 12, 13, 14, 15]"
" Dismantle the coded signal quickly. That group back there, soon discovered will be.",Quickly dismantle the coded signal. That group will soon be discovered back there.,"[4, 0, 1, 2, 3, 5, 6, 11, 9, 12, 10, 7, 8]"
" Killed not by clones, this Padawan. By a lightsaber, he was.",This Padawan was not killed by clones. He by a lightsaber.,"[4, 5, 10, 1, 0, 2, 3, 9, 6, 7, 8]"
" Good . . . For the Clones to discover the recalibration, a long time it will take. To change it back, longer still. Hurry.",Good... It will take a long time for the clones to discover the recalibration. Still longer to change it back. Hurry.,"[0, 1, 2, 3, 14, 15, 16, 11, 12, 13, 4, 5, 6, 7, 8, 9, 10, 22, 21, 17, 18, 19, 20, 23]"
" If into the security recordings you go, only pain will you find.",If you go into the security recordings you will find only pain.,"[0, 5, 6, 1, 2, 3, 4, 10, 9, 11, 7, 8]"
" Destroy the Sith, we must.",We must destroy the Sith.,"[3, 4, 0, 1, 2]"
" To fight this Lord Sidious, strong enough, you are not.",You are not strong enough to fight this Lord Sidious.,"[7, 8, 9, 5, 6, 0, 1, 2, 3, 4]"
" Twisted by the dark side, young Skywalker has become. The boy you trained, gone he is . . . Consumed by Darth Vader.",Young Skywalker has become twisted by the dark side. The boy you trained is gone ... consumed by Darth Vader.,"[5, 6, 7, 8, 0, 1, 2, 3, 4, 9, 10, 11, 12, 15, 13, -1, 19, 20, 21, 22]"
" To question, no time there is.",There is no time to question.,"[4, 5, 2, 3, 0, 1]"
" Use your feelings, Obi-Wan, and find him, you will. Visit the new Emperor, my task is. May the Force be with you.","Obi-Wan, Use your feelings, and you will. find him, my task is. Visit the new Emperor, May the Force be with you.","[3, 0, 1, 2, 4, 7, 8, 5, 6, 13, 14, 15, 9, 10, 11, 12, 16, 17, 18, 19, 20, 21]"
" I hear a new apprentice, you have. Emperor, or should I call you Darth Sidious.","You have a new apprentice, I hear. Or should I call you Darth Sidious, Emperor?","[5, 6, 2, 3, 4, 0, 1, 8, 9, 10, 11, 12, 13, 14, 7]"
" Not if anything I have to say about it, Lord Sidious.","I have not, if anything, to say about it, Lord Sidious.","[3, 4, 0, 1, 2, 5, 6, 7, 8, 9, 10]"
" (continuing) At an end your rule is and not short enough it was, I must say.","Your rule is at an end and it was, not short enough I must say (continuing)","[4, 5, 6, 1, 2, 3, 7, 11, 12, 8, 9, 10, 13, 14, 15, 0]"
" (continuing) If so powerful you are, why leave??","If you are, so powerful why leave?? (continuing)","[1, 4, 5, 2, 3, 6, 7, 0]"
" Faith in your new apprentice, misplaced may be, as is your faith in the dark side of the Force.",Faith in your new apprentice may be misplaced as is your faith in the dark side of the Force.,"[0, 1, 2, 3, 4, 6, 7, 5, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]"
" Destroy you I will, just as Master Kenobi, your apprentice will destroy.","I will destroy you, just as your apprentice will destroy Master Kenobi.","[2, 3, 0, 1, 4, 5, 8, 9, 10, 11, 6, 7]"
 Hurry. Careful timing we will need.,Hurry. We will need careful timing.,"[0, 3, 4, 5, 1, 2]"
" Into exile I must go. Failed, I have.",I must go into exile. I have failed.,"[2, 3, 4, 0, 1, 6, 7, 5]"
" Failed to stop the Sith Lord, I have. Still much to learn, there is ...",I have failed to stop the Sith Lord. There is still much to learn...,"[6, 7, 0, 1, 2, 3, 4, 5, 12, 13, 8, 9, 10, 11, 14]"
 Eternal consciousness.,Consciousness eternal.,"[1, 0]"
" . . . to become one with the Force, and influence still have . . . A power greater than all, it is.",". . . it is. A power greater than all, and still have influence to become one with the Force, . . .","[0, 1, 2, 21, 22, 16, 17, 18, 19, 20, 9, 11, 12, 10, 3, 4, 5, 6, 7, 8, 13, 14, 15]"
" A great Jedi Master, you have become, Qui-Gon Jinn. Your apprentice I gratefully become.","You have become a great Jedi Master, Qui-Gon Jinn. I gratefully become your apprentice.","[4, 5, 6, 0, 1, 2, 3, 7, 8, 11, 12, 13, 9, 10]"
" Save them, we must. They are our last hope.",We must save them. They are our last hope.,"[2, 3, 0, 1, 4, 5, 6, 7, 8]"
" Pregnant, she must still appear. Hidden, safe, the children must be kept.","She must still appear pregnant. The hidden, safe, children must be kept.","[1, 2, 3, 4, 0, 7, 5, 6, 8, 9, 10, 11]"
" Split up, they should be.",They should be split up.,"[2, 3, 4, 0, 1]"
" To Tatooine. To his family, send him.",Send him to his family. To Tatooine.,"[5, 6, 2, 3, 4, 0, 1]"
" Strong the Force runs, in the Skywalker line. Hope, we can . . . Done, it is. Until the time is right, disappear we will.","The Force runs, Strong in the Skywalker line. We can Hope, . . . It is. Done,. We will. disappear Until the time is right,","[1, 2, 3, 0, 4, 5, 6, 7, 9, 10, 8, 11, 12, 13, 15, 16, 14, 23, 24, 22, 17, 18, 19, 20, 21]"
" (continuing) Master Kenobi, wait a moment. In your solitude on Tatooine, training I have for you.","(continuing) Master Kenobi, wait a moment. I have training for you in your solitude on Tatooine,","[0, 1, 2, 3, 4, 5, 12, 13, 11, 14, 15, 6, 7, 8, 9, 10]"
 An old friend has learned the path to immortality.,An old friend has learned the path to immortality.,"[0, 1, 2, 3, 4, 5, 6, 7, 8]"
" One who has returned from the netherworld of the Force to train me . . . your old Master, Qui-Gon Jinn.","Your old Master, Qui-Gon Jinn. One who has returned from the netherworld of the Force to train me . . .","[16, 17, 18, 19, 20, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]"
" The secret of the Ancient Order of the Whills, he studied. How to commune with him. I will teach you.","I will teach you how to commune with him. He studied the secret of the Ancient Order of the Whills,","[16, 17, 18, 19, 11, 12, 13, 14, 15, 9, 10, 0, 1, 2, 3, 4, 5, 6, 7, 8]"
" How to join the Force, he will train you. Your consciousness you will retain, when one with the Force. Even your physical self, perhaps.",He will train you how to join the Force. You will retain your consciousness when one with the Force. Perhaps even your physical self.,"[5, 6, 7, 8, 0, 1, 2, 3, 4, 11, 12, 13, 9, 10, 14, 15, 16, 17, 18, 23, 19, 20, 21, 22]"
Hmm. That face you make. Look I so old to young eyes?,Hmm. You make that face. I look so old to young eyes?,"[0, 3, 4, 1, 2, 6, 5, 7, 8, 9, 10, 11]"
"Soon will I rest. Yes, forever sleep. Earned it, I have.","I will rest soon. Yes, sleep forever. I have earned it.","[2, 1, 3, 0, 4, 6, 5, 9, 10, 7, 8]"
Strong am I with the Force... but not that strong! Twilight is upon me ,I am strong with the Force... but not that strong! Twilight is upon me,"[2, 1, 0, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]"
No more training do you require. Already know you that which you need.,You do require no more training. You already know that which you need.,"[4, 3, 5, 0, 1, 2, 8, 6, 7, 9, 10, 11, 12]"
Mmm... rest I need. Yes... rest.,I need. rest Mmm... Yes... rest.,"[2, 3, 1, 0, 4, 5]"
Your father he is.,He is your father.,"[2, 3, 0, 1]"
"Told you, did he?",Did he told you?,"[2, 3, 0, 1]"
"Unexpected this is, and unfortunate...","This is unexpected, and unfortunate...","[1, 2, 0, 3, 4]"
"Remember, a Jedi's strength flows from the Force.  But beware.  Anger, ","Remember, a Jedi's strength flows from the Force. But Anger, beware.","[0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 9]"
"Luke...Luke...Do not...Do not underestimate the powers of the Emperor, ","Do not underestimate the powers of the Emperor, Luke; Luke, do not.","[2, 3, 6, 7, 8, 9, 10, 11, 0, 1, 4, 5]"
